year,lon,lat,dep,mag
1990,101.08,28.87,10.0,2.8
1990,102.42,31.63,10.0,2.6
1990,99.83,22.78,10.0,3.6
1990,103.0,26.4,15.0,2.9
1990,102.8,30.67,15.0,2.7
1990,99.8,22.83,10.0,3.1
1990,103.4,30.87,15.0,2.8
1990,100.57,26.2,10.0,3.1
1990,99.45,23.5,5.0,2.6
1990,99.5,29.42,5.0,2.6
1990,103.2,30.72,15.0,3.6
1990,103.27,29.97,30.0,3.2
1990,99.4,23.38,15.0,3.4
1990,102.82,30.67,10.0,2.7
1990,99.43,29.93,10.0,3.2
1990,104.68,33.23,11.0,2.0
1990,103.18,30.75,15.0,5.0
1990,99.2,25.1,10.0,2.9
1990,102.63,28.82,10.0,2.6
1990,101.25,27.02,15.0,3.0
1990,103.63,33.25,1.0,3.2
1990,104.58,33.18,4.0,2.4
1990,102.38,31.62,10.0,2.5
1990,105.48,29.42,10.0,2.6
1990,102.37,24.17,10.0,3.3
1990,101.62,23.73,10.0,2.9
1990,103.72,28.05,10.0,2.5
1990,101.97,31.8,10.0,2.8
1990,101.82,31.8,10.0,3.0
1990,104.27,32.8,10.0,3.0
1990,101.65,23.7,10.0,2.9
1990,100.7,27.77,10.0,2.6
1990,99.67,22.88,10.0,3.2
1990,101.12,28.85,15.0,3.2
1990,104.35,31.93,5.0,2.8
1990,102.47,23.68,10.0,3.3
1990,100.07,23.37,25.0,4.7
1990,100.03,23.35,15.0,3.5
1990,100.6,27.73,5.0,2.6
1990,101.0,29.23,10.0,3.2
1990,99.45,23.5,10.0,3.0
1990,99.62,23.13,10.0,3.7
1990,102.77,33.03,15.0,2.6
1990,100.48,29.58,10.0,2.5
1990,104.78,33.38,7.0,2.4
1990,98.17,32.4,10.0,3.4
1990,100.05,23.4,10.0,3.1
1990,104.77,33.07,1.0,2.3
1990,102.37,27.82,15.0,2.7
1990,101.02,29.2,10.0,2.5
1990,99.23,25.12,10.0,2.5
1990,98.42,32.27,10.0,4.1
1990,102.4,31.55,10.0,2.6
1990,102.02,28.95,10.0,3.1
1990,102.47,28.9,10.0,2.7
