year,lon,lat,dep,mag
1980,99.42,24.7,22.0,3.5
1980,100.67,26.08,20.0,3.3
1980,97.9,29.0,15.0,5.1
1980,104.57,32.25,21.0,2.8
1980,100.53,26.02,20.0,2.1
1980,101.2,27.88,12.0,3.6
1980,101.03,27.88,11.0,2.7
1980,100.67,26.07,35.0,3.0
1980,101.2,27.88,11.0,3.2
1980,101.2,27.88,11.0,3.6
1980,101.2,27.88,11.0,5.8
1980,101.2,27.88,15.0,2.7
1980,101.2,27.88,15.0,2.9
1980,102.73,25.77,18.0,2.6
1980,100.7,27.02,27.0,2.2
1980,102.25,25.42,14.0,2.5
1980,101.2,27.88,11.0,2.6
1980,98.92,24.9,25.0,3.9
1980,98.82,24.85,23.0,1.9
1980,98.88,24.83,22.0,2.4
1980,102.9,23.5,22.0,2.4
1980,102.92,23.52,22.0,3.0
1980,102.03,25.05,27.0,2.4
1980,99.07,25.6,20.0,4.1
1980,103.25,30.12,44.0,3.5
1980,101.18,27.92,10.0,3.8
1980,100.75,26.92,11.0,2.4
1980,100.83,27.0,13.0,2.2
1980,99.75,25.88,14.0,3.6
1980,99.92,25.98,17.0,2.4
1980,99.93,25.97,21.0,2.3
1980,102.1,30.18,8.0,3.0
1980,103.67,23.37,14.0,3.3
1980,103.77,33.0,22.0,3.7
1980,103.67,23.45,7.0,3.9
1980,103.62,23.38,18.0,3.1
1980,103.67,23.3,9.0,3.4
1980,103.63,23.33,20.0,3.3
1980,103.68,23.42,9.0,2.5
1980,103.63,23.35,7.0,3.5
1980,103.68,23.4,16.0,2.7
1980,103.73,23.45,16.0,2.6
1980,105.12,33.33,14.0,1.4
1980,100.57,26.98,18.0,2.4
1980,103.67,23.3,18.0,3.1
1980,100.85,26.97,16.0,2.6
1980,100.6,26.77,12.0,2.2
1980,104.18,31.57,22.0,3.2
1980,98.93,24.58,19.0,2.7
1980,103.07,25.02,17.0,2.3
1980,104.62,33.25,18.0,3.4
1980,103.13,28.88,13.0,2.7
1980,104.87,33.28,18.0,2.1
1981,101.6,27.1,20.0,3.1
1981,101.6,27.1,20.0,2.9
1981,101.17,31.0,12.0,6.9
1981,101.27,31.2,16.0,2.3
1981,101.08,31.08,8.0,2.4
1981,101.28,30.9,23.0,2.2
1981,101.18,30.98,9.0,4.3
1981,101.08,31.08,12.0,2.2
1981,101.28,30.88,24.0,2.7
1981,101.08,31.1,8.0,2.4
1981,101.28,30.88,30.0,2.5
1981,100.7,26.87,20.0,2.9
1981,101.25,30.92,1.0,3.1
1981,101.05,31.13,19.0,2.7
1981,101.08,31.08,17.0,2.5
1981,101.03,31.08,29.0,2.2
1981,101.03,31.03,12.0,2.3
1981,101.25,30.93,26.0,3.0
1981,101.22,30.87,8.0,1.1
1981,101.18,30.93,7.0,1.7
1981,101.23,30.8,6.0,1.6
1981,101.13,30.9,10.0,1.1
1981,101.13,30.9,8.0,1.9
1981,101.07,30.9,12.0,1.9
1981,101.12,31.03,12.0,1.5
1981,101.08,31.12,13.0,1.6
1981,101.28,30.88,9.0,1.9
1981,101.13,30.88,10.0,1.2
1981,101.13,30.92,8.0,1.4
1981,99.13,25.55,14.0,2.5
1981,101.23,30.88,7.0,2.0
1981,101.28,30.8,8.0,1.3
1981,101.18,30.9,6.0,1.0
1981,101.1,31.02,10.0,1.7
1981,101.2,31.0,6.0,1.2
1981,101.03,31.05,5.0,1.2
1981,101.1,30.95,7.0,1.4
1981,101.2,31.0,7.0,1.1
1981,101.12,30.95,10.0,1.2
1981,101.2,30.82,8.0,1.7
1981,101.17,30.9,8.0,1.7
1981,101.55,30.52,10.0,3.3
1981,101.2,30.88,8.0,1.2
1981,101.22,30.87,9.0,1.9
1981,101.18,30.88,7.0,1.2
1981,101.22,30.83,7.0,1.4
1981,101.15,31.07,9.0,1.4
1981,101.25,30.78,5.0,1.0
1981,101.23,30.82,8.0,1.2
1981,100.97,31.05,16.0,1.1
1981,101.0,30.97,6.0,1.8
1981,100.93,31.13,4.0,1.5
1981,101.17,30.93,10.0,1.9
1981,101.07,31.03,9.0,1.2
1981,101.23,30.9,8.0,1.4
1981,101.15,30.93,10.0,1.4
1981,101.15,31.05,9.0,1.2
1981,101.1,30.95,7.0,1.5
1981,101.03,31.03,10.0,1.2
1981,101.15,30.93,9.0,1.1
1981,101.15,31.07,5.0,1.3
1981,101.02,31.1,6.0,1.3
1981,101.03,31.07,12.0,1.0
1981,100.97,31.03,7.0,1.3
1981,101.25,30.8,8.0,1.5
1981,99.22,24.9,19.0,3.0
1981,101.12,31.02,14.0,1.6
1981,101.07,31.03,8.0,1.6
1981,101.17,31.07,9.0,1.6
1981,100.82,25.52,17.0,4.1
1981,101.05,31.02,16.0,1.5
1981,101.33,30.87,8.0,2.3
1981,101.58,29.98,12.0,2.9
1981,102.9,30.65,18.0,3.3
1981,103.55,32.7,26.0,2.9
1981,100.77,26.95,24.0,2.1
1981,103.18,29.6,26.0,2.7
1981,101.28,30.88,27.0,3.1
1981,103.18,29.6,26.0,3.5
1981,103.18,29.6,18.0,3.5
1981,100.52,25.8,30.0,2.4
1981,104.1,31.55,14.0,2.9
1981,102.35,29.15,33.0,2.6
1981,103.72,23.4,10.0,4.0
1981,100.92,27.05,22.0,2.7
1981,100.13,27.08,18.0,3.3
1981,99.23,25.43,15.0,3.3
1981,100.87,26.98,22.0,1.9
1981,102.98,26.5,32.0,2.6
1981,97.9,25.13,41.0,5.1
1981,98.75,25.42,10.0,3.3
1981,100.72,26.87,28.0,1.9
1981,106.37,27.18,4.0,1.5
1981,106.35,27.2,8.0,1.8
1981,100.25,25.43,19.0,3.2
1981,106.38,27.2,3.0,1.9
1981,99.03,24.7,5.0,3.1
1981,99.78,25.77,16.0,3.3
1982,103.6,31.6,11.0,2.9
1982,101.77,29.23,20.0,2.9
1982,101.77,29.22,23.0,2.9
1982,100.7,26.82,24.0,1.9
1982,99.77,26.08,28.0,2.1
1982,98.78,25.38,18.0,2.1
1982,102.17,31.53,12.0,2.2
1982,102.15,31.55,13.0,2.4
1982,102.17,31.55,14.0,2.4
1982,101.02,29.08,10.0,3.2
1982,103.47,29.43,24.0,3.5
1982,101.98,26.9,11.0,2.4
1982,104.33,32.1,10.0,2.1
1982,104.35,32.1,9.0,2.6
1982,102.8,25.08,22.0,2.6
1982,99.85,31.83,17.0,6.0
1982,99.87,26.53,15.0,5.4
1982,99.0,24.72,26.0,3.0
1982,99.83,26.12,14.0,2.3
1982,98.9,24.52,18.0,3.9
1982,98.87,24.55,11.0,2.5
1982,99.28,25.1,23.0,2.0
1982,105.17,33.3,16.0,2.6
1982,103.82,31.28,18.0,3.7
1982,101.8,30.5,10.0,3.1
1982,100.43,29.68,17.0,4.3
1984,104.73,33.4,5.0,4.1
1984,99.92,26.15,40.0,2.0
1984,105.75,23.85,20.0,3.2
1984,106.95,23.62,23.0,3.5
1984,106.7,24.97,21.0,3.3
1985,98.58,30.48,12.0,3.0
1985,100.8,26.75,18.0,2.3
1985,100.75,27.0,27.0,2.4
1985,100.7,26.97,29.0,2.7
1985,100.72,26.93,33.0,2.7
1985,100.7,26.95,29.0,2.5
1985,99.92,26.18,16.0,2.2
1985,104.93,32.9,41.0,3.6
1985,106.13,27.63,15.0,3.0
1985,105.3,29.5,10.0,2.6
1985,105.3,29.45,5.0,2.6
1985,105.5,29.13,15.0,3.0
1985,100.78,25.4,13.0,2.3
1985,105.72,28.58,15.0,2.5
1985,105.5,29.13,20.0,2.2
1985,105.27,28.3,20.0,2.7
1985,104.83,29.37,7.0,5.0
1985,104.8,29.4,5.0,3.2
1985,102.93,25.88,5.0,6.5
1985,102.93,25.82,5.0,4.1
1985,102.97,25.87,8.0,3.8
1985,103.02,25.83,8.0,3.7
1985,102.9,25.83,5.0,3.1
1985,103.05,25.78,10.0,3.9
1985,102.93,25.83,7.0,3.8
1985,102.9,25.78,6.0,3.0
1985,102.95,25.83,9.0,3.8
1985,102.98,25.83,7.0,3.6
1985,102.97,25.78,8.0,3.5
1985,102.87,25.83,6.0,3.2
1985,102.92,25.82,11.0,3.2
1985,102.93,25.82,9.0,3.3
1985,102.78,25.8,4.0,3.0
1985,102.93,25.87,9.0,3.6
1985,102.88,25.82,4.0,3.4
1985,102.87,25.78,8.0,3.1
1985,102.9,25.82,6.0,3.4
1985,102.85,25.75,5.0,2.9
1985,102.85,25.77,7.0,3.0
1985,102.93,25.8,8.0,4.1
1985,102.73,25.75,4.0,3.6
1985,102.85,25.83,9.0,2.9
1985,102.78,25.82,4.0,2.7
1985,104.8,33.37,11.0,2.8
1985,104.88,33.07,21.0,3.1
1985,103.75,33.15,23.0,2.1
1985,98.27,30.93,33.0,5.0
1985,101.8,24.47,25.0,3.7
1985,101.87,24.42,16.0,2.4
1985,100.28,25.78,20.0,2.6
1985,100.0,26.4,13.0,2.9
1985,102.85,25.78,15.0,3.3
1985,100.42,25.95,17.0,3.6
1985,100.4,25.97,16.0,3.2
1985,102.85,25.82,10.0,3.3
1985,102.93,25.87,12.0,3.2
1985,102.85,25.82,4.0,3.6
1985,105.08,28.78,20.0,2.3
1985,102.88,25.8,10.0,4.0
1985,102.88,25.87,9.0,4.9
1985,102.97,25.88,5.0,4.1
1985,102.83,25.88,5.0,3.0
