year,lon,lat,dep,mag
1970,102.6,24.1,13.0,7.8
1970,102.48,24.13,4.0,3.5
1970,102.73,24.0,12.0,3.5
1970,102.87,23.88,5.0,5.0
1970,102.6,24.15,14.0,3.4
1970,102.42,24.15,12.0,2.4
1970,102.48,24.13,11.0,2.4
1970,102.42,24.17,11.0,2.9
1970,102.63,24.0,6.0,2.0
1970,102.7,23.97,6.0,3.9
1970,102.5,24.12,12.0,3.2
1970,102.83,23.98,10.0,2.7
1970,102.48,24.12,12.0,3.1
1970,102.38,24.15,11.0,3.3
1970,102.48,24.12,7.0,3.5
1970,102.6,24.03,11.0,2.1
1970,102.4,24.23,14.0,3.5
1970,102.57,24.02,12.0,2.0
1970,102.52,24.05,9.0,3.0
1970,102.43,24.17,14.0,2.5
1970,102.43,24.15,5.0,3.2
1970,102.42,24.15,11.0,2.6
1970,102.57,24.07,10.0,2.7
1970,102.55,24.12,14.0,3.7
1970,102.48,24.12,10.0,2.8
1970,102.53,24.17,10.0,2.4
1970,102.47,24.12,8.0,3.6
1970,102.8,23.95,10.0,3.4
1970,102.62,24.05,10.0,3.2
1970,102.88,23.9,11.0,3.3
1970,102.43,24.12,11.0,3.5
1970,102.52,24.07,10.0,2.4
1970,102.72,24.02,12.0,3.1
1970,102.52,24.08,10.0,3.5
1970,102.35,24.22,8.0,3.3
1970,102.6,24.03,10.0,3.3
1970,102.43,24.1,8.0,2.8
1970,102.48,24.17,8.0,3.5
1970,102.4,24.27,11.0,3.1
1970,102.67,24.03,8.0,2.7
1970,102.42,24.13,11.0,3.4
1970,102.43,24.05,18.0,2.8
1970,102.45,24.1,13.0,3.4
1970,102.43,24.15,12.0,3.4
1970,102.42,24.2,4.0,3.0
1970,102.42,24.13,9.0,3.6
1970,102.32,24.17,14.0,5.6
1970,102.35,24.07,12.0,3.5
1970,102.35,24.22,12.0,3.0
1970,102.7,24.0,10.0,3.5
1970,102.38,24.18,13.0,3.6
1970,102.38,24.23,10.0,2.7
1970,102.38,24.2,11.0,3.0
1970,102.78,23.95,16.0,3.3
1970,102.65,24.2,12.0,3.2
1970,102.4,24.2,13.0,2.5
1970,102.35,24.05,15.0,4.1
1970,102.37,24.2,11.0,3.5
1970,102.42,24.17,7.0,3.0
1970,102.38,24.2,11.0,2.9
1970,102.5,24.2,16.0,2.5
1970,102.43,24.05,15.0,3.9
1970,102.85,23.98,15.0,2.6
1970,102.6,24.03,10.0,3.7
1970,102.4,24.08,13.0,3.1
1970,102.45,24.13,7.0,2.4
1970,102.45,24.23,8.0,2.4
1970,102.4,24.12,8.0,3.8
1970,102.88,23.87,16.0,3.2
1970,102.85,23.82,14.0,2.9
1970,102.98,23.85,14.0,3.4
1970,102.65,23.98,16.0,2.5
1970,102.87,23.87,16.0,3.4
1970,102.88,23.88,14.0,2.9
1970,102.48,24.2,15.0,2.9
1970,102.88,23.95,12.0,1.8
1970,102.45,24.18,12.0,2.9
1970,101.63,27.12,29.0,2.2
1970,102.4,24.22,10.0,2.9
1970,102.42,24.22,11.0,2.9
1970,102.92,23.93,14.0,3.3
1970,102.42,24.12,14.0,2.9
1970,102.83,23.88,13.0,2.9
1970,102.52,24.17,5.0,3.1
1970,102.42,24.13,6.0,2.8
1970,102.72,23.98,14.0,2.9
1970,102.48,24.22,7.0,3.3
1970,102.78,23.88,11.0,3.9
1970,102.88,23.92,12.0,3.0
1970,102.48,24.17,13.0,2.8
1970,102.45,24.13,8.0,1.8
1970,102.4,24.23,14.0,3.3
1970,103.02,24.05,14.0,3.2
1970,102.85,23.87,12.0,3.5
1970,102.92,23.88,11.0,3.8
1970,102.9,23.95,16.0,3.0
1970,102.9,23.93,16.0,3.2
1970,102.82,23.95,13.0,2.7
1970,102.55,24.07,13.0,3.0
1970,102.9,23.92,16.0,3.6
1970,102.53,24.08,12.0,4.0
1970,102.57,24.1,10.0,2.2
1970,102.57,24.1,11.0,3.0
1970,102.58,24.08,11.0,2.5
1970,102.83,23.9,10.0,2.7
1970,102.7,23.98,13.0,3.5
1970,102.7,23.98,13.0,2.5
1970,102.85,23.93,7.0,3.0
1970,102.95,23.92,11.0,3.3
1970,102.62,24.08,14.0,2.2
1970,102.43,24.1,11.0,2.2
1970,102.43,24.13,7.0,1.7
1970,102.7,24.0,17.0,2.8
1970,102.45,24.13,8.0,2.8
1970,102.8,23.98,11.0,2.1
1970,102.8,23.98,13.0,2.2
1970,102.82,23.87,15.0,2.9
1970,102.88,23.92,16.0,3.2
1970,102.63,24.08,8.0,1.5
1970,102.57,24.1,10.0,2.5
1970,102.57,24.12,9.0,1.7
1970,102.38,24.15,12.0,2.1
1970,102.47,24.13,12.0,2.1
1970,102.57,24.08,9.0,1.5
1970,102.45,24.12,10.0,2.8
1970,102.8,23.92,17.0,2.2
1970,102.77,23.98,11.0,2.3
1970,102.58,24.1,13.0,2.9
1970,102.78,23.92,13.0,2.8
1970,102.38,24.23,18.0,2.9
1970,102.82,24.45,16.0,4.8
1970,102.83,24.42,19.0,4.2
1970,102.85,24.43,18.0,3.1
1970,102.45,24.15,11.0,1.8
1970,102.87,24.45,15.0,2.9
1970,102.45,24.1,10.0,1.5
1970,102.45,24.12,11.0,3.3
1970,102.82,24.4,23.0,4.0
