year,lon,lat,dep,mag
2000,99.17,24.68,10.0,3.3
2000,99.98,31.17,7.0,2.2
2000,103.92,31.33,11.0,2.7
2000,100.93,26.58,10.0,2.4
2000,104.18,32.48,5.0,2.2
2000,99.22,24.7,10.0,2.7
2000,100.72,27.2,25.0,2.0
2000,104.55,32.13,8.0,1.7
2000,98.42,24.6,20.0,2.6
2000,99.38,25.62,5.0,2.7
2000,98.85,25.28,10.0,2.9
2000,100.97,27.32,10.0,2.2
2000,99.32,24.78,10.0,3.3
2000,105.45,28.98,9.0,2.6
2000,105.7,28.67,4.0,2.4
2000,101.67,30.58,7.0,2.8
2000,99.32,24.87,10.0,2.9
2000,102.07,24.47,25.0,2.1
2000,102.47,28.98,7.0,2.1
2000,100.03,26.52,10.0,2.7
2000,105.47,29.28,9.0,2.2
2000,102.22,28.87,8.0,1.7
2000,102.27,28.77,8.0,1.4
2000,102.67,26.8,12.0,1.8
2000,101.67,31.67,12.0,2.4
2000,102.87,26.92,4.0,2.1
2000,104.95,28.18,25.0,2.4
2000,100.08,25.03,10.0,2.9
2000,100.07,25.05,10.0,3.0
2000,102.15,31.93,8.0,1.6
2000,102.38,28.98,11.0,1.7
2000,103.95,31.22,10.0,1.2
2000,100.73,27.25,25.0,2.4
2000,102.78,27.2,12.0,2.2
2000,101.82,29.1,8.0,2.3
2000,104.33,31.9,1.0,2.3
2000,102.32,31.67,9.0,2.0
2000,100.3,27.03,10.0,2.1
2000,100.83,27.05,10.0,3.2
2000,100.75,27.08,25.0,2.3
2000,100.87,27.1,25.0,1.7
2000,100.83,27.07,15.0,1.9
2000,104.1,31.75,5.0,1.6
2000,98.73,25.18,15.0,3.4
2000,102.25,29.13,9.0,3.3
2000,101.72,24.98,5.0,2.3
2000,101.7,24.95,10.0,4.1
2000,101.72,24.95,10.0,2.8
2000,101.7,24.97,10.0,3.8
2000,101.68,24.95,10.0,3.2
2000,103.28,22.23,10.0,2.7
2000,101.7,24.95,10.0,2.3
2000,101.68,24.95,10.0,2.3
2000,103.87,32.22,9.0,2.6
2000,103.55,31.87,5.0,2.2
2000,100.8,26.92,25.0,1.7
2000,100.18,26.95,10.0,1.2
2000,101.7,24.95,10.0,3.5
2000,100.25,27.0,5.0,1.8
2000,101.0,27.28,10.0,2.5
2000,103.92,31.27,10.0,1.6
2000,104.67,28.43,4.0,2.4
2000,100.2,31.53,9.0,2.6
2000,103.83,31.37,9.0,1.6
2000,103.88,31.27,5.0,1.8
2000,102.82,31.65,3.0,1.9
2000,102.02,29.93,9.0,1.8
2000,105.0,31.53,14.0,1.7
2000,103.35,31.6,5.0,2.0
2000,104.0,26.92,10.0,3.5
2000,99.2,24.67,10.0,2.6
2000,99.03,23.02,25.0,1.6
2000,103.87,31.25,1.0,1.6
2000,103.43,28.2,5.0,2.3
2000,102.98,26.33,8.0,2.6
2000,100.23,27.02,10.0,2.1
2000,100.27,27.05,10.0,2.0
2000,104.08,31.55,13.0,2.2
2000,100.18,27.07,10.0,2.0
2000,99.18,24.67,10.0,3.1
2000,100.22,27.07,10.0,2.6
2000,99.18,24.8,5.0,3.5
2000,103.93,31.27,11.0,2.0
2000,104.08,31.47,12.0,1.2
2000,103.43,27.97,6.0,2.3
2000,103.52,29.45,9.0,2.3
2000,102.25,29.02,10.0,2.5
2000,103.52,30.8,5.0,1.9
2000,100.25,27.05,10.0,2.7
2000,100.12,27.0,15.0,1.8
2000,102.37,29.08,14.0,1.8
2000,100.12,30.95,8.0,2.3
2000,100.12,26.98,15.0,1.5
2000,99.73,29.93,19.0,2.5
2000,102.35,29.12,10.0,1.4
2000,103.9,31.48,10.0,1.0
2000,103.52,29.38,5.0,2.3
2000,104.77,27.97,21.0,2.2
2000,98.22,25.2,15.0,2.7
2000,105.62,29.25,11.0,2.4
2000,100.68,27.12,15.0,2.5
2000,100.68,27.17,25.0,2.5
2000,104.03,31.43,20.0,1.4
2000,103.67,31.13,5.0,1.4
2000,101.17,29.45,4.0,2.5
2000,103.93,31.48,12.0,1.8
2000,103.93,31.47,9.0,1.5
2000,101.33,32.02,5.0,2.3
2000,103.28,29.38,7.0,2.1
2000,101.93,30.02,11.0,2.1
2000,102.88,25.07,25.0,1.8
2000,104.83,31.63,5.0,1.7
2000,103.13,30.62,14.0,3.0
2000,103.75,31.28,9.0,1.5
2000,101.75,26.13,5.0,2.3
2000,102.0,28.95,13.0,2.1
2000,104.32,31.65,5.0,2.0
2000,102.32,24.13,15.0,3.3
2000,102.55,28.98,16.0,3.1
2000,103.73,31.12,10.0,1.3
2000,99.22,24.97,5.0,4.5
2000,99.2,24.98,10.0,2.1
2000,99.18,24.93,10.0,2.8
2000,102.67,28.62,14.0,2.2
2000,103.68,31.13,5.0,2.0
2000,99.0,25.18,25.0,2.5
2000,104.07,31.45,10.0,1.3
2000,104.25,31.7,13.0,1.5
2000,103.88,31.42,14.0,1.9
2000,101.77,25.63,10.0,3.0
2000,101.72,25.67,5.0,2.5
2000,103.58,31.08,10.0,2.4
2000,99.18,24.93,10.0,2.9
2000,104.07,31.52,12.0,2.4
2000,100.45,25.82,15.0,2.1
2000,104.02,31.43,10.0,1.4
2000,105.07,32.12,19.0,2.4
